1) Gender,2) Age,3) Academic degree,4) Main field of research,6) Do you work\study only in the academia? ,"7) How many years have passed since your first academic publication (i.e., academic age)",8) Current affiliation's country ,"9) Based on the last 5 years, on average, how many research projects do you involved in, at the same time? ",10) How many academic papers did you publish with one or more co-author(s) other than your advisor(s)? ,"11) How many solo (i.e., you are the only author) papers did you publish? ",12) How many advisors did you have during your master's studies?,13) How many papers you published during your Masters with your advisor(s)? ,14) How many advisors did you have during your Ph.D. studies?,15) How many papers you published during your Ph.D. studies with your advisor(s)? ,16) How many years your (main) master's advisor is/was older than you?,17) What is/was your master's advisor academic title?,18) What is/was your (main) master's advisor's gender?,19) Did you have a conflict about credit distribution in a paper with your Master's advisor(s)?,20) How many years your (main) Ph.D.'s  (or MD)   advisor is/was older than you?,21) What is/was your (main) Ph.D. (or MD) advisor's gender?,22) Did you have a conflict about credit distribution in a paper with your Ph.D.  (or MD) advisor(s)?,23) What is/was your Ph.D.'s (or MD) advisor academic title?,24) Did you have a conflict about credit distribution in a paper with your peers?,25) Did you add someone to a paper without him\her contributing at all (or not enough to be named an author)? ,26) How often do you ask authors to cite you as part of a review process?,27) How often do you cite your colleagues even when the citation is not entirely scientifically warranted?,"28) How often a co-author raise demands or claims to get more credit in a paper, usually with a treat of delaying the paper's submission/publication?",29)  How many times do you update a papers' authors list based on co-authors' demands and NOT BASED ON CHANGES IN THE CONTRIBUTION of the authors?,5) Second field of research (if any),30) How often do you have to demand to get more credit for you work in a research?
Female,36-45,Third (Ph.D. \ MD),Applied physics,Yes,6-9,France,4,10+,2-5,1,2,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Rarely
Female,46-55,Third (Ph.D. \ MD),Economics,No,10-20,Netherlands,3,10+,2-5,1,1,1,3,10-20,Dr.,Female,No,20-40,Male,Yes,Prof.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Female,26-35,Third (Ph.D. \ MD),Environmental science,Yes,3-5,Macedonia,2,2-5,0,1,0,2,3,10-20,Dr.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,46-55,Professor,Sociology,Yes,10-20,Netherlands,3,10+,10+,1,1,2,5+,40+,Prof.,Male,No,10-20,Female,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Never,,Never
Female,36-45,Third (Ph.D. \ MD),Neuroscience,Yes,6-9,Netherlands,2,5-10,0,1,0,2,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,56-65,Professor,Anthropology,Yes,20+,United States,2,10+,10+,1,0,2,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Female,56-65,Professor,Basic medicine,No,20+,United Kingdom,3,10+,5-10,1,0,1,1,10-20,Dr.,Male,No,10-20,Female,Yes,Dr.,Yes - They were from the same *institute* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Often,,Rarely
Male,36-45,Third (Ph.D. \ MD),Applied physics,Yes,10-20,United Arab Emirates,4,10+,2-5,2,2,2,5+,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Often,,Never
Male,46-55,Professor,Electrical and electronic engineering,Yes,10-20,United Arab Emirates,5+,10+,10+,1,1,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,66+,Professor,Chemistry,Yes,20+,United Kingdom,5+,10+,5-10,1,1,1,1,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,66+,Third (Ph.D. \ MD),Biological Science,Yes,20+,United States,3,10+,0,Non-thesis medical sciences program,0,2,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Rarely
Male,36-45,Third (Ph.D. \ MD),Material engineering,Yes,6-9,Ecuador,2,2-5,0,1,0,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,,Never
Male,46-55,Professor,Basic medicine,No,10-20,South Sudan,3,10+,2-5,I did a direct Ph.D.,0,1,4,,,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Professor,Law,No,10-20,Japan,1,2-5,10+,1,2,1,2,10-20,Dr.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,26-35,Third (Ph.D. \ MD),Civil engineering,No,3-5,Belarus,1,1,0,1,0,1,3,10-20,Dr.,Male,Yes,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Professor,Architecture and building engineering,Yes,20+,Canada,3,10+,5-10,1,1,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Often,Rarely,Physics,Rarely
Male,46-55,Third (Ph.D. \ MD),Architecture and building engineering,No,6-9,Croatia,2,2-5,1,1,0,1,3,10-20,Dr.,Male,Yes,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,56-65,Professor,Genome science,No,20+,Serbia,5+,10+,10+,1,1,2,4,10-20,Prof.,Female,No,10-20,Female,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Rarely
Male,36-45,Third (Ph.D. \ MD),Applied physics,Yes,6-9,Korea South,2,5-10,0,1,1,2,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Linguistics,Yes,6-9,Moldova,2,1,5-10,1,0,1,3,10-20,Prof.,Male,No,20-40,Male,Yes,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,26-35,Third (Ph.D. \ MD),Mathematics,Yes,6-9,United Kingdom,2,5-10,5-10,I did a direct Ph.D.,0,1,3,,,Male,No,40+,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Never,,Never
Male,56-65,Professor,Economics,No,20+,Sweden,5+,10+,10+,1,2,2,4,20-40,Prof.,Female,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Male,46-55,Professor,Psychology,No,20+,Denmark,4,10+,5-10,1,1,1,2,10-20,Dr.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,46-55,Professor,Literature,Yes,10-20,United Kingdom,2,2-5,10+,1,0,1,1,40+,Prof.,Male,No,40+,Male,No,Prof.,Yes - They were from the same *country* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Sociology,No,6-9,Kenya,2,2-5,2-5,1,0,1,1,40+,Prof.,Male,No,20-40,Male,Yes,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,56-65,Professor,Management,Yes,20+,Norway,4,10+,5-10,1,2,2,3,10-20,Dr.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,56-65,Professor,Physics,Yes,20+,Russian Federation,5+,10+,10+,1,1,1,2,10-20,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *country* as I am,Yes,When in the general scope of the work,"When relevant but not necessarily ""a must""",Often,Rarely,Mathematics,Never
Female,36-45,Third (Ph.D. \ MD),Environmental science,Yes,6-9,Australia,3,5-10,0,1,0,3,5+,10-20,Prof.,Female,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Plant production and environmental agriculture,Never
Male,36-45,Third (Ph.D. \ MD),Mathematics,Yes,10-20,Romania,2,1,2-5,1,1,1,2,10-20,Dr.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Professor,Physics,No,20+,Ukraine,2,5-10,10+,1,1,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,"When relevant but not necessarily ""a must""",When in the general scope of the work,Rarely,Often,,Rarely
Male,66+,Professor,Law,No,20+,Luxembourg,2,10+,10+,1,0,1,1,40+,Prof.,Male,No,40+,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,36-45,Third (Ph.D. \ MD),Sociology,No,6-9,Greece,3,2-5,5-10,1,1,1,4,5-10,Dr.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Often,,Never
Male,36-45,Third (Ph.D. \ MD),Literature,Yes,6-9,Colombia,1,1,2-5,1,0,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *institute* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,26-35,Third (Ph.D. \ MD),Chemistry,Yes,6-9,Russian Federation,2,2-5,0,1,1,1,3,10-20,Prof.,Female,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Female,46-55,Third (Ph.D. \ MD),Psychology,No,3-5,France,1,2-5,0,1,0,1,2,20-40,Prof.,Male,No,5-10,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Sociology,Yes,10-20,Austria,3,5-10,2-5,1,0,1,4,10-20,Dr.,Female,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,,Never
Female,46-55,Professor,Psychology,Yes,20+,Turkey,3,10+,5-10,1,1,2,5+,20-40,Prof.,Male,Yes,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,36-45,Third (Ph.D. \ MD),Literature,Yes,6-9,Georgia,2,2-5,10+,1,0,1,1,40+,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Professor,Economics,No,6-9,Kuwait,1,2-5,2-5,1,0,1,2,20-40,Prof.,Male,No,5-10,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,56-65,Professor,Process/Chemical engineering,Yes,20+,Germany,5+,10+,10+,1,0,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,26-35,Third (Ph.D. \ MD),Physics,Yes,10-20,France,3,5-10,2-5,1,1,1,3,20-40,Prof.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Rarely
Male,36-45,Third (Ph.D. \ MD),Architecture and building engineering,Yes,3-5,Belgium,2,1,0,2,0,1,3,10-20,Prof.,Female,Yes,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,46-55,Professor,Politics,No,10-20,Germany,3,2-5,10+,1,0,1,5+,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,56-65,Professor,Genome science,No,20+,Estonia,3,10+,10+,1,1,2,4,20-40,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Often,Never,,Rarely
Male,36-45,Third (Ph.D. \ MD),Biological Science,Yes,10-20,Nepal,2,2-5,0,1,0,1,3,10-20,Prof.,Male,No,20-40,Male,Yes,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,Chemistry,Never
Male,56-65,Professor,Process/Chemical engineering,Yes,20+,Singapore,5+,10+,10+,2,1,3,5+,10-20,Dr.,Male,No,40+,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Often,,Never
Male,56-65,Professor,Mathematics,Yes,20+,South Sudan,4,10+,10+,1,0,1,2,40+,Prof.,Male,No,40+,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Male,66+,Third (Ph.D. \ MD),Anthropology,No,20+,Greece,3,10+,10+,2,1,2,4,40+,Prof.,Male,No,40+,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Often,Often,,Rarely
Male,46-55,Professor,Basic biology,Yes,10-20,Philippines,3,10+,5-10,1,0,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Never,,Rarely
Male,56-65,Professor,Mechanical engineering,Yes,20+,South Africa,5+,10+,10+,1,0,1,3,40+,Prof.,Male,No,40+,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Often,,Rarely
Male,36-45,Third (Ph.D. \ MD),Economics,Yes,10-20,Norway,3,10+,10+,1,0,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Female,56-65,Professor,Linguistics,Yes,20+,Romania,2,10+,10+,1,0,1,1,20-40,Prof.,Female,No,40+,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Never,,Never
Male,26-35,Third (Ph.D. \ MD),Mathematics,Yes,6-9,Sweden,3,5-10,1,1,2,1,3,40+,Prof.,Male,No,40+,Male,No,Prof.,Yes - They were from the same *institute* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Female,36-45,Professor,Physics,Yes,20+,Russian Federation,4,10+,5-10,1,1,2,4,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *country* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Rarely
Male,26-35,Third (Ph.D. \ MD),Nano/Micro science,No,6-9,Switzerland,3,5-10,0,1,0,1,4,10-20,Dr.,Female,Yes,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Professor,Architecture and building engineering,No,20+,Bulgaria,5+,10+,10+,1,0,1,2,10-20,Prof.,Female,No,20-40,Male,Yes,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,56-65,Professor,Basic medicine,No,20+,United States,2,10+,5-10,1,0,1,3,20-40,Prof.,Male,No,20-40,Male,Yes,Prof.,No,No,When in the general scope of the work,"When relevant but not necessarily ""a must""",Rarely,Often,,Rarely
Female,46-55,Professor,Environmental science,Yes,20+,Netherlands,4,10+,5-10,2,1,1,2,10-20,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Professor,Material engineering,No,20+,Portugal,3,10+,10+,1,1,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,"When relevant but not necessarily ""a must""",When in the general scope of the work,Often,Rarely,Applied physics,Rarely
Male,36-45,Professor,Mechanical engineering,Yes,10-20,United States,4,10+,10+,1,1,1,3,20-40,Prof.,Female,No,20-40,Female,No,Prof.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Female,46-55,Professor,Chemistry,No,20+,Canada,5+,10+,5-10,1,0,2,4,20-40,Prof.,Male,No,20-40,Female,No,Prof.,No,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Often,,Rarely
Male,46-55,Professor,Chemistry,No,20+,Spain,3,10+,5-10,1,1,1,2,40+,Prof.,Male,No,20-40,Male,Yes,Prof.,No,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Male,26-35,Third (Ph.D. \ MD),Psychology,Yes,6-9,Czech Republic,2,5-10,1,1,0,2,3,10-20,,Female,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Male,56-65,Professor,Material engineering,Yes,20+,Portugal,5+,10+,10+,1,0,1,3,10-20,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,When in the general scope of the work,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Female,26-35,Third (Ph.D. \ MD),Economics,Yes,3-5,Austria,1,1,1,1,0,2,3,10-20,Dr.,Male,Yes,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Professor,Mechanical engineering,No,20+,Italy,4,10+,10+,1,1,1,4,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Often,Rarely,,Rarely
Male,46-55,Third (Ph.D. \ MD),Law,No,10-20,Denmark,2,2-5,10+,1,0,1,3,20-40,Dr.,Male,No,5-10,Male,No,Dr.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Management,No,10-20,Sweden,2,5-10,10+,1,1,1,3,10-20,Dr.,Male,No,20-40,Male,Yes,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Female,46-55,Professor,Basic biology,Yes,20+,Czech Republic,4,10+,10+,1,1,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,,Rarely
Male,36-45,Third (Ph.D. \ MD),Applied physics,Yes,10-20,Japan,4,5-10,2-5,3+,3+,2,4,10-20,Dr.,Male,No,20-40,Male,Yes,Prof.,No,Yes,When in the general scope of the work,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,56-65,Professor,Mechanical engineering,No,20+,Norway,5+,10+,10+,1,0,1,2,40+,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,,Rarely
Female,26-35,Third (Ph.D. \ MD),Chemistry,Yes,6-9,Portugal,1,1,0,1,1,1,2,10-20,Dr.,Female,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Never
Male,46-55,Third (Ph.D. \ MD),Applied physics,No,20+,United Arab Emirates,2,10+,10+,1,1,1,2,10-20,Prof.,Male,No,20-40,Male,Yes,Prof.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,56-65,Professor,Mechanical engineering,Yes,20+,Singapore,1,10+,10+,1,0,1,3,40+,Prof.,Male,Yes,20-40,Male,No,Prof.,No,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Often,,Rarely
Male,36-45,Professor,Genome science,Yes,20+,Sweden,4,10+,2-5,2,1,2,5+,10-20,Dr.,Female,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,,Rarely
Male,36-45,Third (Ph.D. \ MD),Basic biology,Yes,10-20,Norway,4,10+,2-5,1,1,2,4,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Female,26-35,Third (Ph.D. \ MD),Social sciences,Yes,3-5,Austria,1,1,0,1,0,2,3,10-20,Dr.,Female,No,10-20,Female,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Male,56-65,Professor,Electrical and electronic engineering,Yes,20+,Turkey,4,10+,10+,1,0,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,"When relevant but not necessarily ""a must""",When in the general scope of the work,Often,Rarely,,Never
Male,46-55,Professor,Anthropology,Yes,20+,Congo,2,10+,5-10,1,1,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,56-65,Professor,Literature,Yes,20+,Japan,2,5-10,10+,1,0,1,1,40+,Prof.,Male,No,40+,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,56-65,Professor,Linguistics,Yes,20+,Russian Federation,3,10+,10+,1,1,1,3,10-20,Dr.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Never,,Rarely
Male,46-55,Professor,History,Yes,20+,China,1,5-10,10+,1,0,1,1,40+,Prof.,Male,No,40+,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,66+,Professor,Applied physics,Yes,20+,Poland,5+,10+,10+,1,1,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,When in the general scope of the work,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,36-45,Third (Ph.D. \ MD),Electrical and electronic engineering,No,10-20,Serbia,3,10+,5-10,1,1,1,3,5-10,Dr.,Female,No,20-40,Male,No,Prof.,No,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Never,,Never
Female,36-45,Third (Ph.D. \ MD),Economics,Yes,6-9,Libya,2,5-10,2-5,1,0,1,2,10-20,Dr.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Never
Female,26-35,Third (Ph.D. \ MD),Psychology,Yes,6-9,Finland,2,2-5,1,1,1,1,3,10-20,Dr.,Female,No,10-20,Female,No,Dr.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,36-45,Third (Ph.D. \ MD),Sociology,No,10-20,South Africa,2,2-5,1,1,0,1,2,20-40,Prof.,Male,No,10-20,Female,Yes,Prof.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Never
Male,46-55,Professor,Nano/Micro science,No,20+,Singapore,1,2-5,5-10,1,0,1,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Never,,Never
Male,46-55,Professor,Mechanical engineering,Yes,20+,Israel,2,10+,5-10,1,0,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Management,No,6-9,Brazil,1,2-5,1,1,0,1,3,20-40,Prof.,Male,No,5-10,Male,No,Prof.,No,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Never,,Never
Female,36-45,Third (Ph.D. \ MD),Material engineering,No,6-9,New Zealand,2,2-5,0,1,0,1,2,10-20,Prof.,Male,No,20-40,Male,Yes,Prof.,No,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Female,46-55,Professor,Genome science,Yes,20+,France,2,10+,10+,1,1,2,5+,10-20,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Rarely
Female,26-35,Third (Ph.D. \ MD),History,Yes,3-5,Taiwan,1,0,0,1,0,1,2,10-20,Dr.,Male,No,40+,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Electrical and electronic engineering,Yes,10-20,Canada,3,10+,2-5,1,1,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,46-55,Professor,Electrical and electronic engineering,No,20+,Netherlands,2,2-5,1,1,1,1,2,10-20,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Male,26-35,Third (Ph.D. \ MD),Physics,Yes,6-9,Mexico,2,5-10,0,1,0,1,2,10-20,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Female,26-35,Third (Ph.D. \ MD),Sociology,Yes,3-5,Spain,1,1,1,1,1,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,56-65,Professor,Basic medicine,Yes,20+,United Arab Emirates,3,10+,5-10,1,0,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Male,66+,Professor,Basic biology,Yes,20+,Armenia,5+,10+,10+,1,0,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Often,Never,,Never
